,title,year,rating,director_and_writers
167,O Show de Truman: O Show da Vida,1998,8.1,"Peter Weir (dir.), Jim Carrey, Ed Harris"
168,...E o Vento Levou,1939,8.1,"Victor Fleming (dir.), Clark Gable, Vivien Leigh"
169,Procurando Nemo,2003,8.1,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres"
170,Stalker,1979,8.1,"Andrei Tarkovsky (dir.), Alisa Freyndlikh, Aleksandr Kaydanovskiy"
171,Morangos Silvestres,1957,8.1,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson"
172,Memórias de um Assassino,2003,8.1,"Bong Joon Ho (dir.), Kang-ho Song, Kim Sang-kyung"
173,Kill Bill: Volume 1,2003,8.1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine"
174,Blade Runner: O Caçador de Androides,1982,8.1,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer"
175,A Ponte do Rio Kwai,1957,8.1,"David Lean (dir.), William Holden, Alec Guinness"
176,Fargo: Uma Comédia de Erros,1996,8.1,"Joel Coen (dir.), William H. Macy, Frances McDormand"
177,Relatos Selvagens,2014,8.1,"Damián Szifron (dir.), Darío Grandinetti, María Marull"
178,O Quarto de Jack,2015,8.1,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay"
179,Era uma Vez em Tóquio,1953,8.1,"Yasujirô Ozu (dir.), Chishû Ryû, Chieko Higashiyama"
180,O 3º Homem,1949,8.1,"Carol Reed (dir.), Orson Welles, Joseph Cotten"
181,Gran Torino,2008,8.1,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang"
182,Sindicato de Ladrões,1954,8.1,"Elia Kazan (dir.), Marlon Brando, Karl Malden"
183,O Franco Atirador,1978,8.1,"Michael Cimino (dir.), Robert De Niro, Christopher Walken"
184,Em Nome do Pai,1993,8.1,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite"
185,Mary e Max: Uma Amizade Diferente,2009,8.1,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman"
186,Antes do Amanhecer,1995,8.1,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
187,O Grande Hotel Budapeste,2014,8.1,"Wes Anderson (dir.), Ralph Fiennes, F. Murray Abraham"
188,Prenda-me se for Capaz,2002,8.1,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks"
